datetime,city,season,weather_situation,temp,atemp,humidity,windspeed,casual,registered,cnt
2024-01-03 08:00:00,chennai,4,2,23.66,24.89,69.54,13.92,30,215,245
2024-01-03 09:00:00,chennai,4,4,25.33,26.92,70.91,14.02,7,34,41
2024-01-03 10:00:00,chennai,4,1,27.07,29.05,61.68,15.78,19,112,131
2024-01-03 11:00:00,chennai,4,3,28.67,30.44,64.04,15.82,4,31,35
2024-01-03 12:00:00,chennai,4,1,27.56,29.44,70.35,17.8,4,28,32
2024-01-03 13:00:00,chennai,4,1,28.31,31.15,64.48,10.13,3,22,25
2024-01-03 14:00:00,chennai,4,1,27.34,29.11,62.65,24.38,3,24,27
2024-01-03 15:00:00,chennai,4,1,27.1,27.95,63.42,10.36,4,32,36
2024-01-03 16:00:00,chennai,4,2,29.11,31.49,61.39,13.23,19,90,109
2024-01-03 17:00:00,chennai,4,2,29.13,29.26,74.91,22.6,29,238,267
2024-01-03 18:00:00,chennai,4,2,26.58,27.0,62.94,13.34,36,164,200
2024-01-03 19:00:00,chennai,4,1,26.91,28.75,70.47,10.33,43,94,137
2024-01-03 20:00:00,chennai,4,1,25.1,27.12,72.58,11.3,8,47,55
2024-01-03 21:00:00,chennai,4,1,22.86,23.12,79.63,14.32,1,18,19
2024-01-03 22:00:00,chennai,4,1,23.1,24.22,82.52,10.46,8,24,32
2024-01-03 23:00:00,chennai,4,1,23.69,24.58,78.91,12.76,5,24,29
2024-01-04 00:00:00,chennai,4,1,21.16,22.18,82.11,12.0,4,23,27
2024-01-04 01:00:00,chennai,4,1,22.68,25.13,83.3,18.44,6,41,47
2024-01-04 02:00:00,chennai,4,2,18.0,20.21,70.64,10.58,3,29,32
2024-01-04 03:00:00,chennai,4,1,21.79,23.27,73.71,15.74,6,41,47
2024-01-04 04:00:00,chennai,4,1,21.31,22.26,77.63,12.61,5,41,46
2024-01-04 05:00:00,chennai,4,1,21.48,21.63,76.26,14.43,5,38,43
2024-01-04 06:00:00,chennai,4,2,22.78,25.7,71.0,11.15,11,53,64
2024-01-04 07:00:00,chennai,4,1,21.25,23.34,78.34,14.7,31,127,158
2024-01-04 08:00:00,chennai,4,1,24.41,25.2,72.01,15.6,34,212,246
2024-01-04 09:00:00,chennai,4,1,26.13,28.35,68.34,10.36,42,199,241
2024-01-04 10:00:00,chennai,4,1,28.44,29.87,60.72,18.7,30,89,119
2024-01-04 11:00:00,chennai,4,1,26.88,28.09,64.71,19.88,6,47,53
2024-01-04 12:00:00,chennai,4,2,27.16,29.1,50.21,10.33,2,30,32
2024-01-04 13:00:00,chennai,4,1,27.93,28.69,61.53,14.62,5,20,25
2024-01-04 14:00:00,chennai,4,4,29.77,30.92,62.32,14.51,1,4,5
2024-01-04 15:00:00,chennai,4,1,28.93,30.55,63.55,10.06,7,47,54
2024-01-04 16:00:00,chennai,4,2,27.5,28.5,55.52,12.1,16,89,105
2024-01-04 17:00:00,chennai,4,1,28.11,30.28,66.05,27.36,52,193,245
2024-01-04 18:00:00,chennai,4,2,26.79,30.16,61.79,14.05,35,187,222
2024-01-04 19:00:00,chennai,4,2,26.87,27.61,65.35,23.53,7,133,140
2024-01-04 20:00:00,chennai,4,1,23.83,23.66,75.59,15.63,7,34,41
2024-01-04 21:00:00,chennai,4,2,23.24,22.74,84.66,10.14,2,9,11
2024-01-04 22:00:00,chennai,4,1,22.2,23.55,77.26,10.4,4,29,33
2024-01-04 23:00:00,chennai,4,1,20.09,20.92,74.99,16.4,1,22,23
2024-01-05 00:00:00,chennai,4,1,21.56,23.27,81.6,14.04,4,29,33
2024-01-05 01:00:00,chennai,4,1,21.12,22.75,86.35,10.68,2,36,38
2024-01-05 02:00:00,chennai,4,1,20.68,20.57,85.1,14.76,2,39,41
2024-01-05 03:00:00,chennai,4,3,20.52,20.21,95.37,18.31,2,25,27
2024-01-05 04:00:00,chennai,4,2,19.51,21.3,77.08,16.99,4,42,46
2024-01-05 05:00:00,chennai,4,1,21.34,22.97,80.33,11.41,9,37,46
2024-01-05 06:00:00,chennai,4,2,22.26,23.33,84.74,11.49,8,49,57
2024-01-05 07:00:00,chennai,4,1,22.67,22.51,82.02,27.18,21,103,124
2024-01-05 08:00:00,chennai,4,2,24.48,26.45,62.25,20.92,35,183,218
2024-01-05 09:00:00,chennai,4,1,26.19,28.96,69.4,11.92,18,223,241
2024-01-05 10:00:00,chennai,4,3,28.93,30.71,74.42,18.69,8,56,64
2024-01-05 11:00:00,chennai,4,2,27.71,28.36,79.38,10.88,5,31,36
2024-01-05 12:00:00,chennai,4,3,28.44,29.99,66.86,11.1,2,14,16
2024-01-05 13:00:00,chennai,4,1,28.44,28.58,60.5,11.0,5,24,29
2024-01-05 14:00:00,chennai,4,2,26.37,28.93,56.95,10.46,5,23,28
2024-01-05 15:00:00,chennai,4,1,28.5,30.08,73.43,19.64,8,39,47
2024-01-05 16:00:00,chennai,4,1,28.21,27.94,66.98,14.32,34,107,141
2024-01-05 17:00:00,chennai,4,2,30.45,31.65,60.69,11.5,39,190,229
2024-01-05 18:00:00,chennai,4,1,26.44,28.4,65.98,19.44,30,212,242
2024-01-05 19:00:00,chennai,4,1,26.07,27.23,70.96,18.11,25,94,119
2024-01-05 20:00:00,chennai,4,1,24.63,25.85,74.72,10.53,5,48,53
2024-01-05 21:00:00,chennai,4,1,22.23,22.51,70.09,15.17,4,19,23
2024-01-05 22:00:00,chennai,4,1,24.04,26.11,73.93,16.4,3,19,22
2024-01-05 23:00:00,chennai,4,1,22.74,23.6,70.81,16.29,3,28,31
2024-01-06 00:00:00,chennai,4,1,22.16,21.5,85.86,16.42,11,20,31
2024-01-06 01:00:00,chennai,4,1,19.71,20.84,79.95,10.93,14,27,41
2024-01-06 02:00:00,chennai,4,1,22.35,24.83,84.33,11.89,12,34,46
2024-01-06 03:00:00,chennai,4,2,19.12,20.24,88.77,19.3,11,21,32
2024-01-06 04:00:00,chennai,4,2,21.91,25.15,81.76,21.43,10,23,33
2024-01-06 05:00:00,chennai,4,2,24.47,26.4,78.51,11.64,19,34,53
2024-01-06 06:00:00,chennai,4,1,21.48,23.32,77.97,10.12,21,40,61
2024-01-06 07:00:00,chennai,4,1,22.96,24.33,74.9,19.82,32,54,86
2024-01-06 08:00:00,chennai,4,2,24.79,26.22,78.23,12.37,28,89,117
2024-01-06 09:00:00,chennai,4,1,25.1,26.34,70.97,12.0,38,89,127
2024-01-06 10:00:00,chennai,4,3,24.81,26.01,64.28,12.13,23,41,64
2024-01-06 11:00:00,chennai,4,1,27.58,29.61,70.17,12.69,45,46,91
2024-01-06 12:00:00,chennai,4,2,26.86,27.42,69.49,12.38,32,57,89
2024-01-06 13:00:00,chennai,4,1,29.1,29.53,55.65,14.18,38,78,116
2024-01-06 14:00:00,chennai,4,1,27.57,27.94,69.66,10.41,43,67,110
2024-01-06 15:00:00,chennai,4,2,30.39,33.94,64.16,27.8,36,75,111
2024-01-06 16:00:00,chennai,4,2,27.19,29.22,64.76,23.78,43,73,116
2024-01-06 17:00:00,chennai,4,1,27.11,28.92,69.96,23.62,54,98,152
2024-01-06 18:00:00,chennai,4,1,27.65,28.09,64.17,20.57,58,86,144
2024-01-06 19:00:00,chennai,4,2,24.23,26.35,74.18,15.4,29,47,76
2024-01-06 20:00:00,chennai,4,1,24.94,26.33,70.12,11.25,16,32,48
2024-01-06 21:00:00,chennai,4,1,25.2,26.92,67.21,10.25,7,19,26
2024-01-06 22:00:00,chennai,4,1,20.74,21.26,72.01,10.52,9,20,29
2024-01-06 23:00:00,chennai,4,1,22.06,23.72,81.91,11.96,8,15,23
2024-01-07 00:00:00,chennai,4,1,21.52,22.59,75.93,13.5,12,23,35
2024-01-07 01:00:00,chennai,4,3,21.74,22.48,89.71,34.99,6,10,16
2024-01-07 02:00:00,chennai,4,1,19.19,21.42,87.95,12.86,21,36,57
2024-01-07 03:00:00,chennai,4,1,19.22,19.18,88.33,13.72,14,31,45
2024-01-07 04:00:00,chennai,4,1,21.83,23.9,81.28,15.94,20,39,59
2024-01-07 05:00:00,chennai,4,1,22.2,24.38,80.36,11.0,20,38,58
2024-01-07 06:00:00,chennai,4,1,22.97,23.59,71.03,23.5,17,43,60
2024-01-07 07:00:00,chennai,4,1,24.05,24.73,79.57,13.76,28,60,88
2024-01-07 08:00:00,chennai,4,1,23.85,25.13,73.9,11.62,45,78,123
2024-01-07 09:00:00,chennai,4,1,25.98,27.77,72.25,23.68,60,95,155
2024-01-07 10:00:00,chennai,4,1,27.02,28.37,75.44,14.91,35,78,113
2024-01-07 11:00:00,chennai,4,1,26.64,28.57,61.9,13.31,34,57,91
2024-01-07 12:00:00,chennai,4,1,30.37,33.64,62.71,14.34,30,65,95
2024-01-07 13:00:00,chennai,4,1,29.1,30.09,63.97,16.9,32,74,106
2024-01-07 14:00:00,chennai,4,3,27.24,27.03,57.32,10.84,29,37,66
2024-01-07 15:00:00,chennai,4,1,29.32,31.65,61.4,20.01,36,73,109
2024-01-07 16:00:00,chennai,4,1,26.96,30.15,65.8,26.03,36,94,130
2024-01-07 17:00:00,chennai,4,1,28.44,30.34,63.3,14.19,52,108,160
2024-01-07 18:00:00,chennai,4,1,28.06,28.47,73.54,15.73,39,76,115
2024-01-07 19:00:00,chennai,4,1,24.72,26.1,61.86,19.82,33,50,83
2024-01-07 20:00:00,chennai,4,1,25.83,26.21,77.61,12.35,14,28,42
2024-01-07 21:00:00,chennai,4,1,24.13,26.27,77.89,34.69,7,11,18
2024-01-07 22:00:00,chennai,4,2,23.66,23.81,74.16,15.71,6,10,16
2024-01-07 23:00:00,chennai,4,2,24.12,25.32,74.45,12.76,9,20,29
2024-01-08 00:00:00,chennai,4,2,20.91,21.41,70.26,15.66,7,35,42
2024-01-08 01:00:00,chennai,4,1,19.9,21.53,77.68,13.69,5,31,36
2024-01-08 02:00:00,chennai,4,1,19.6,20.74,87.24,10.59,6,34,40
2024-01-08 03:00:00,chennai,4,1,19.83,21.5,81.38,17.94,9,49,58
2024-01-08 04:00:00,chennai,4,1,21.11,22.64,86.48,14.15,8,40,48
2024-01-08 05:00:00,chennai,4,1,22.25,22.76,75.97,17.94,8,54,62
2024-01-08 06:00:00,chennai,4,1,23.0,25.13,80.54,10.84,9,53,62
2024-01-08 07:00:00,chennai,4,1,24.63,26.08,71.0,13.86,18,116,134
2024-01-08 08:00:00,chennai,4,2,24.69,25.2,67.17,17.28,58,158,216
2024-01-08 09:00:00,chennai,4,2,27.45,31.19,68.88,32.24,40,180,220
2024-01-08 10:00:00,chennai,4,1,26.35,28.33,63.68,20.79,18,104,122
2024-01-08 11:00:00,chennai,4,2,30.76,32.11,57.21,19.99,5,33,38
2024-01-08 12:00:00,chennai,4,2,28.88,31.8,62.43,11.42,7,29,36
2024-01-08 13:00:00,chennai,4,3,27.5,30.85,62.87,19.1,2,19,21
2024-01-08 14:00:00,chennai,4,1,27.38,28.74,68.34,10.93,2,27,29
2024-01-08 15:00:00,chennai,4,2,29.11,30.96,67.02,11.1,4,48,52
2024-01-08 16:00:00,chennai,4,1,27.87,28.38,69.44,10.58,30,109,139
2024-01-08 17:00:00,chennai,4,1,28.36,29.71,68.53,19.75,52,193,245
2024-01-08 18:00:00,chennai,4,1,27.24,28.54,68.66,10.57,40,215,255
2024-01-08 19:00:00,chennai,4,2,25.62,27.3,63.27,10.74,16,117,133
2024-01-08 20:00:00,chennai,4,2,23.65,25.49,72.75,11.41,6,41,47
2024-01-08 21:00:00,chennai,4,1,21.82,23.88,77.57,14.25,5,16,21
2024-01-08 22:00:00,chennai,4,1,22.13,23.87,84.29,20.61,3,17,20
2024-01-08 23:00:00,chennai,4,1,22.87,23.16,82.5,12.71,4,20,24
2024-01-09 00:00:00,chennai,4,1,21.46,22.02,86.86,13.95,4,29,33
2024-01-09 01:00:00,chennai,4,1,19.31,20.26,76.5,10.91,4,23,27
2024-01-09 02:00:00,chennai,4,2,20.88,22.1,80.37,11.55,7,34,41
2024-01-09 03:00:00,chennai,4,2,21.27,23.82,83.81,10.72,10,32,42
2024-01-09 04:00:00,chennai,4,3,20.15,20.48,86.47,12.64,5,28,33
2024-01-09 05:00:00,chennai,4,1,22.03,23.17,78.34,14.46,9,40,49
2024-01-09 06:00:00,chennai,4,2,22.74,25.19,76.59,11.67,8,51,59
2024-01-09 07:00:00,chennai,4,1,22.26,23.46,78.02,19.35,21,113,134
2024-01-09 08:00:00,chennai,4,1,25.1,27.06,66.37,29.88,41,207,248
2024-01-09 09:00:00,chennai,4,1,26.38,27.74,77.45,10.64,34,212,246
2024-01-09 10:00:00,chennai,4,2,27.97,29.73,62.6,10.09,22,113,135
2024-01-09 11:00:00,chennai,4,1,28.76,30.03,55.34,17.8,7,52,59
2024-01-09 12:00:00,chennai,4,2,26.48,28.65,63.39,11.06,6,29,35
2024-01-09 13:00:00,chennai,4,1,27.41,27.36,70.83,12.18,5,26,31
2024-01-09 14:00:00,chennai,4,1,29.29,30.42,64.93,12.51,4,27,31
2024-01-09 15:00:00,chennai,4,1,29.15,30.95,66.1,22.42,7,43,50
2024-01-09 16:00:00,chennai,4,1,28.75,30.79,63.55,15.38,27,98,125
2024-01-09 17:00:00,chennai,4,1,32.12,35.11,64.17,10.21,38,227,265
2024-01-09 18:00:00,chennai,4,1,27.35,28.46,59.28,10.07,43,210,253
2024-01-09 19:00:00,chennai,4,1,27.07,30.05,58.11,11.11,23,110,133
2024-01-09 20:00:00,chennai,4,1,25.81,26.66,72.98,11.91,9,44,53
2024-01-09 21:00:00,chennai,4,2,24.42,27.24,81.15,13.31,2,23,25
2024-01-09 22:00:00,chennai,4,1,22.29,24.61,78.72,19.1,3,25,28
2024-01-09 23:00:00,chennai,4,1,22.75,23.34,82.19,11.89,2,18,20
2024-01-10 00:00:00,chennai,4,1,20.28,22.09,88.58,12.36,6,28,34
2024-01-10 01:00:00,chennai,4,1,20.52,21.97,83.3,12.0,7,33,40
2024-01-10 02:00:00,chennai,4,3,20.09,22.21,81.39,10.05,4,19,23
2024-01-10 03:00:00,chennai,4,2,20.9,22.18,77.57,25.53,4,27,31
2024-01-10 04:00:00,chennai,4,1,23.98,25.18,90.77,10.75,4,42,46
2024-01-10 05:00:00,chennai,4,2,19.6,22.47,81.7,11.7,5,33,38
2024-01-10 06:00:00,chennai,4,2,23.49,24.89,72.28,10.69,10,51,61
2024-01-10 07:00:00,chennai,4,2,21.7,24.03,68.73,13.37,18,106,124
2024-01-10 08:00:00,chennai,4,1,24.1,25.38,78.27,23.45,36,188,224
2024-01-10 09:00:00,chennai,4,2,27.01,30.18,64.22,10.53,16,203,219
2024-01-10 10:00:00,chennai,4,1,26.75,27.57,76.27,12.91,18,103,121
2024-01-10 11:00:00,chennai,4,1,26.21,27.09,51.15,10.11,2,47,49
2024-01-10 12:00:00,chennai,4,1,27.28,30.3,70.45,17.37,4,42,46
2024-01-10 13:00:00,chennai,4,1,29.35,30.4,64.78,15.13,2,22,24
2024-01-10 14:00:00,chennai,4,2,27.79,30.89,62.59,16.01,2,31,33
2024-01-10 15:00:00,chennai,4,3,28.79,31.19,61.46,13.2,3,22,25
2024-01-10 16:00:00,chennai,4,2,28.19,29.53,72.79,21.91,24,121,145
2024-01-10 17:00:00,chennai,4,1,26.72,26.4,68.46,12.63,53,201,254
2024-01-10 18:00:00,chennai,4,2,29.24,30.72,62.48,13.61,29,209,238
2024-01-10 19:00:00,chennai,4,1,26.47,28.07,60.82,15.94,15,110,125
2024-01-10 20:00:00,chennai,4,1,22.24,24.91,72.89,13.68,6,36,42
2024-01-10 21:00:00,chennai,4,1,23.86,26.95,74.58,11.05,5,29,34
2024-01-10 22:00:00,chennai,4,1,21.88,22.69,69.4,11.91,3,26,29
2024-01-10 23:00:00,chennai,4,1,22.86,25.17,78.79,10.48,5,26,31
2024-01-11 00:00:00,chennai,4,2,20.25,22.52,77.79,12.83,4,27,31
2024-01-11 01:00:00,chennai,4,3,20.67,23.24,81.71,14.7,2,18,20
2024-01-11 02:00:00,chennai,4,2,21.28,23.27,85.63,10.63,5,35,40
2024-01-11 03:00:00,chennai,4,1,21.85,21.4,89.12,14.98,13,35,48
2024-01-11 04:00:00,chennai,4,1,19.77,21.11,85.2,21.17,10,41,51
2024-01-11 05:00:00,chennai,4,1,21.44,21.78,75.46,12.06,7,45,52
2024-01-11 06:00:00,chennai,4,2,22.1,23.4,78.84,11.26,3,54,57
2024-01-11 07:00:00,chennai,4,1,22.85,25.33,74.9,21.17,9,137,146
2024-01-11 08:00:00,chennai,4,1,26.79,28.59,65.34,15.89,34,184,218
2024-01-11 09:00:00,chennai,4,1,26.19,28.84,71.4,10.56,32,204,236
2024-01-11 10:00:00,chennai,4,1,25.16,27.0,76.28,12.62,12,115,127
2024-01-11 11:00:00,chennai,4,1,28.6,28.8,65.09,15.61,8,50,58
2024-01-11 12:00:00,chennai,4,1,30.68,29.66,55.37,14.27,4,34,38
2024-01-11 13:00:00,chennai,4,2,29.77,31.42,62.49,14.82,3,26,29
2024-01-11 14:00:00,chennai,4,1,26.85,28.13,55.93,14.19,5,30,35
2024-01-11 15:00:00,chennai,4,1,27.95,28.48,66.66,18.0,4,40,44
2024-01-11 16:00:00,chennai,4,2,29.65,29.45,65.96,11.93,11,123,134
2024-01-11 17:00:00,chennai,4,2,26.65,27.41,64.07,16.16,18,196,214
2024-01-11 18:00:00,chennai,4,1,27.2,28.51,65.34,33.6,35,237,272
2024-01-11 19:00:00,chennai,4,2,26.63,28.8,68.35,12.47,9,115,124
2024-01-11 20:00:00,chennai,4,2,23.56,25.25,72.04,17.83,11,30,41
2024-01-11 21:00:00,chennai,4,1,23.56,26.67,70.73,11.41,5,19,24
2024-01-11 22:00:00,chennai,4,2,18.78,19.24,70.06,11.66,4,16,20
2024-01-11 23:00:00,chennai,4,2,20.61,22.99,84.76,23.66,2,13,15
2024-01-12 00:00:00,chennai,4,2,20.9,22.45,78.73,10.13,4,29,33
2024-01-12 01:00:00,chennai,4,1,19.31,21.5,82.49,11.23,2,24,26
2024-01-12 02:00:00,chennai,4,2,22.63,23.69,83.43,13.3,7,22,29
2024-01-12 03:00:00,chennai,4,1,19.09,21.66,83.27,12.57,11,41,52
2024-01-12 04:00:00,chennai,4,2,20.68,22.47,74.79,14.96,6,25,31
2024-01-12 05:00:00,chennai,4,1,22.0,22.82,70.69,11.07,7,39,46
2024-01-12 06:00:00,chennai,4,1,24.4,25.89,74.06,10.37,8,51,59
2024-01-12 07:00:00,chennai,4,2,21.91,23.17,76.57,12.3,22,103,125
2024-01-12 08:00:00,chennai,4,1,26.07,28.05,68.36,13.72,52,175,227
2024-01-12 09:00:00,chennai,4,1,25.72,26.04,67.64,14.13,46,209,255
2024-01-12 10:00:00,chennai,4,1,25.49,26.96,77.64,14.6,11,101,112
2024-01-12 11:00:00,chennai,4,2,28.05,29.95,55.7,13.98,5,43,48
2024-01-12 12:00:00,chennai,4,1,28.37,29.91,59.56,11.41,6,29,35
2024-01-12 13:00:00,chennai,4,3,27.81,30.66,71.82,17.23,2,16,18
2024-01-12 14:00:00,chennai,4,1,28.75,31.03,61.78,10.46,3,23,26
2024-01-12 15:00:00,chennai,4,1,28.07,29.56,58.81,11.11,9,31,40
2024-01-12 16:00:00,chennai,4,1,28.27,29.99,69.18,16.72,19,119,138
2024-01-12 17:00:00,chennai,4,1,28.29,30.09,65.21,11.64,19,249,268
2024-01-12 18:00:00,chennai,4,1,28.57,30.48,65.26,13.4,77,183,260
2024-01-12 19:00:00,chennai,4,2,24.22,23.89,70.37,11.98,20,76,96
2024-01-12 20:00:00,chennai,4,2,27.23,28.43,68.71,13.54,8,45,53
2024-01-12 21:00:00,chennai,4,1,21.29,21.31,69.5,12.13,3,20,23
2024-01-12 22:00:00,chennai,4,1,22.49,25.27,76.43,35.76,1,22,23
2024-01-12 23:00:00,chennai,4,1,22.55,23.99,74.02,12.21,4,29,33
2024-01-13 00:00:00,chennai,4,2,21.54,22.85,80.71,14.93,7,15,22
2024-01-13 01:00:00,chennai,4,1,20.06,22.46,83.43,20.96,14,26,40
2024-01-13 02:00:00,chennai,4,1,20.42,22.34,86.27,15.08,19,26,45
2024-01-13 03:00:00,chennai,4,2,20.21,20.59,87.3,14.17,15,24,39
2024-01-13 04:00:00,chennai,4,1,20.5,21.93,78.63,14.21,27,32,59
2024-01-13 05:00:00,chennai,4,2,22.86,24.03,81.57,13.43,14,37,51
2024-01-13 06:00:00,chennai,4,1,23.1,22.85,79.46,18.24,12,33,45
2024-01-13 07:00:00,chennai,4,1,22.8,23.61,76.23,10.26,38,55,93
2024-01-13 08:00:00,chennai,4,1,25.75,27.07,69.6,20.82,46,83,129
2024-01-13 09:00:00,chennai,4,1,26.07,27.46,64.27,14.41,50,83,133
2024-01-13 10:00:00,chennai,4,1,27.65,27.66,69.51,19.45,36,66,102
2024-01-13 11:00:00,chennai,4,1,28.25,30.91,56.39,10.05,29,52,81
2024-01-13 12:00:00,chennai,4,1,27.14,28.54,62.0,20.17,38,61,99
2024-01-13 13:00:00,chennai,4,2,27.86,29.4,49.57,10.64,37,64,101
2024-01-13 14:00:00,chennai,4,2,29.57,31.47,55.32,16.39,36,76,112
2024-01-13 15:00:00,chennai,4,1,29.27,29.98,57.96,12.69,58,66,124
2024-01-13 16:00:00,chennai,4,2,28.11,30.07,68.82,15.71,43,77,120
2024-01-13 17:00:00,chennai,4,1,27.64,28.77,68.37,14.95,55,106,161
2024-01-13 18:00:00,chennai,4,1,28.2,28.81,64.23,10.89,47,94,141
2024-01-13 19:00:00,chennai,4,1,25.0,27.07,73.06,13.61,29,49,78
2024-01-13 20:00:00,chennai,4,1,25.33,28.32,76.44,11.62,14,27,41
2024-01-13 21:00:00,chennai,4,1,23.39,25.62,73.78,14.11,4,11,15
2024-01-13 22:00:00,chennai,4,1,22.41,24.83,70.08,16.7,10,19,29
2024-01-13 23:00:00,chennai,4,1,23.16,24.14,78.03,10.42,7,17,24
2024-01-14 00:00:00,chennai,4,1,22.2,22.1,80.17,13.63,11,19,30
2024-01-14 01:00:00,chennai,4,2,21.78,24.77,75.5,14.81,10,18,28
2024-01-14 02:00:00,chennai,4,1,22.24,25.79,83.84,11.75,18,40,58
2024-01-14 03:00:00,chennai,4,3,20.83,23.87,83.06,25.29,10,14,24
2024-01-14 04:00:00,chennai,4,1,22.02,23.19,82.89,13.67,19,36,55
2024-01-14 05:00:00,chennai,4,1,21.47,21.81,80.47,11.01,16,31,47
2024-01-14 06:00:00,chennai,4,1,23.06,23.49,80.65,10.57,19,39,58
2024-01-14 07:00:00,chennai,4,1,23.48,23.29,73.69,13.9,29,58,87
2024-01-14 08:00:00,chennai,4,1,24.79,26.18,73.01,12.35,51,86,137
2024-01-14 09:00:00,chennai,4,1,26.42,29.53,67.42,11.07,46,103,149
2024-01-14 10:00:00,chennai,4,1,25.69,27.05,64.08,10.16,39,70,109
